Treatment,PotID,LeafNumber_6/6/2022,LeafNumber_6/13/2022,AG_DryBiomass(g),BG_DryBiomass(g),SingleLeafDryWt(g),Notes:,,,
Current,B1-1-C,23,28,0.1591,0.0208,0.0049,,,Total pixel lengths,9411.439
Current,B1-2-C,27,32,0.1557,0.0188,0.0053,,,Avg pixel per cm:,470.57195
Current,B1-3-C,25,30,0.2523,0.0338,0.0080,6/13= has new leaves around bottom at several locations underneath ,,Use:,470.5719
Current,B1-4-C,23,28,0.1796,0.0235,0.0092,,,,
Current,B1-5-C,25,28,0.2295,0.0281,0.0053,,,,
Current,B1-6-C,22,26,0.2019,0.0262,0.0046,,,,
Current,B2-2-C,10,11,0.2051,0.0318,0.0039,,,,
Current,B3-1-C,25,30,0.3981,0.0522,0.0089,,,,
Current,B3-2-C,19,22,0.1801,0.0233,0.0059,,,,
Current,B3-3-C,21,27,0.2594,0.0271,0.0074,6/13= has new leaf growing underneath to the right when looking top to bottom ,,,
Current,B3-4-C,25,30,0.2701,0.0394,0.0096,,,,
Current,B3-5-C,23,29,0.3413,0.0381,0.0074,6/13- Has new leaves groing out of the left side when looking top to bottom underneath,,,
Current,B3-6-C,21,26,0.1957,0.0222,0.0061,,,,
Current,B8-1-C,22,30,0.4246,0.0558,0.0059,6/13- new little leaves growing from multiple spots underneath bigger leaves from center,,,
Current,B8-2-C,17,22,0.2261,0.0299,0.0058,,,,
Current,B8-3-C,24,31,0.3208,0.0366,0.0067,6/13= has new leaf growing underneath to the right when looking top to bottom ,,,
Current,B8-4-C,21,25,0.4142,0.0558,0.0065,,,,
Current,B8-7-C,20,24,0.4278,0.0671,0.0110,,,,
Current,B8-8-C,23,27,0.848,0.0879,0.0109,,,,
Current,B12-2-C,17,19,0.1162,0.0176,0.0032,,,,
Current,B12-3-C,22,25,0.0727,0.0106,0.0030,,,,
Current,B12-4-C,14,14,0.0635,0.0111,0.0020,,,,
Current,B13-1-C,17,19,0.1207,0.0254,0.0062,,,,
Current,B13-2-C,21,28,0.1971,0.0279,0.0058,6/13- Has new little leaf growing underneath to the right when looking top to bottom ,,,
Current,B13-3-C,21,25,0.4099,0.0602,0.0089,,,,
Current,B13-4-C,18,21,0.2373,0.0429,0.0072,,,,
Current,B13-5-C,21,25,0.2408,0.0398,0.0067,,,,
Current,B15-1-C,25,33,0.3625,0.0482,0.0078,6/13- new little leaves growing from multiple spots underneath bigger leaves from center,,,
Current,B15-2-C,24,30,0.342,0.0494,0.0075,,,,
Current,B15-3-C,25,32,0.2453,0.0391,0.0065,6/13= has new leaf growing underneath to the back when looking top to bottom ,,,
Current,B15-4-C,26,34,0.3318,0.0559,0.0065,Has newshoot to the left underneath when looking from top to bottom at tray. 6/13= looks bigger,,,
Current,B15-5-C,23,29,0.2303,0.0393,0.0063,6/13= has new leaves around bottom at several locations underneath ,,,
Current,B15-1-C (E), ,,0.0018,0.0009,,"Extra shoot found in pot, AG & BG combined in envelope",,,
Current,R2-1-C,24,31,0.3423,0.0464,0.0072,Has new shoot to the right underneath wne looking top to bottom at tray. ,,,
Current,R2-2-C,26,35,0.3368,0.0396,0.0070,Has new shoot in center undereath when looking top to bottom.,,,
Current,R2-3-C,27,33,0.6168,0.0786,0.0153,Has new shoot in center and back when looing top to bottom at tray. 6/13= looks bigger,,,
Current,R2-4-C,21,31,0.5740,0.0726,0.0145,Has new shoot to the right underneath wne looking top to bottom at tray. 6/13= signifcantly bigger,,,
Current,R8-1-C,19,21,0.4140,0.0528,0.0100,,,,
Current,R8-2-C,22,26,0.5711,0.0692,0.0117,Has new shoot in back underneath when looking top to bottom at tray. ,,,
Current,R8-3-C,21,24,0.3445,0.043,0.0103,,,,
Current,R8-4-C,14,18,0.2128,0.0308,0.0050,6/13= has new leaf growing underneath to the left when looking top to bottom ,,,
Current,R11-1-C,20,27,0.7972,0.0576,0.0134,,,,
Current,R11-2-C,20,29,0.5484,0.0481,0.0146,6/13- has two new shoot and new little leaf growing underneath center and left (T to B),,,
Current,R11-3-C,25,34,0.9499,0.0795,0.0165,Has newshoot to the left underneath when looking from top to bottom at tray. 6/13= has lots of new leaves around bottom,,,
Current,R11-4-C,17,19,0.6646,0.0522,0.0128,6/13= has new leaf underneath center when looking top to bottom ,,,
Current,R21-1-C,22,28,0.5599,0.0736,0.0150,Has new shoot in center undereath when looking top to bottom. (looks bigger on 6/13),,,
Current,R21-2-C,17,20,0.3549,0.0487,0.0105,,,,
Current,R21-3-C,18,22,0.4670,0.0578,0.0120,Has new shoot in center undereath when looking top to bottom.,,,
Current,R21-4-C,23,27,0.6172,0.0770,0.0148,Has new shoot in back underneath when looking top to bottom at tray. (looks bigger on 6/13),,,
Current,R29-1-C,20,26,0.5386,0.0625,0.0078,Has new shoot in center undereath when looking top to bottom.,,,
Current,R29-2-C,17,20,0.4728,0.0582,0.0120,,,,
Current,R29-3-C,24,26,0.4033,0.0683,0.0122,Has newshoot to the left underneath when looking from top to bottom at tray. ,,,
Current,R29-4-C,16,21,0.5948,0.0844,0.0072,Has new shoot in center undereath when looking top to bottom. 6/13= looks bigger,,,
Current,R35-1-C,24,30,0.4854,0.0531,0.0112,Has newshoot to the left underneath when looking from top to bottom at tray. ,,,
Current,R35-2-C,26,31,1.0045,0.1116,0.0175,Has new shoot in center undereath when looking top to bottom.,,,
Current,R35-3-C,22,28,0.3008,0.0409,0.0078,"Has new shoot to the right underneath when looking top to bottom at tray. 6/13= new shoot to left as well, bigger on right",,,
Current,R35-4-C,23,29,0.4777,0.0703,0.0099,Has new shoot to the right underneath when looking top to bottom at tray. 6/13= signifcantly bigger,,,
Current,R40-1-C,17,20,0.4655,0.0602,0.0084,,,,
Current,R40-2-C,16,20,0.2731,0.0377,0.0130,,,,
Current,R40-3-C,20,27,0.5224,0.0641,0.0131,6/13= has new leaf forming underneath on the right when looking top to bottom ,,,
Current,R40-4-C,16,19,0.3677,0.0448,0.0094,,,,
Current,R47-1-C,16,18,0.4192,0.0530,0.0073,Has new shoot in center undereath when looking top to bottom.,,,
Current,R47-2-C,15,19,0.2987,0.0366,0.0082,6/13- Has new leaf growing underneath to the right looking top to bottom.,,,
Current,R47-3-C,13,16,0.3756,0.0490,0.0078,6/13= has new leaves around bottom at several locations underneath ,,,
Current,R47-4-C,17,21,0.5042,0.0668,0.0078,,,,
Future,B1-1-F,18,26,0.0983,0.0143,0.0047,6/13= has new leaf growing underneath to the back when looking top to bottom ,,,
Future,B1-2-F,28,40,0.1893,0.024,0.0066,"6/13= has a ton of new leaves at the bottom underneath, very little. ",,,
Future,B1-3-F,22,37,0.1079,0.0145,0.0058,"6/13= has a ton of new leaves at the bottom underneath, very little. ",,,
Future,B1-4-F,22,34,0.1586,0.0211,0.0067,6/13= only one new liittle leaf at bottom ,,,
Future,B1-5-F,26,47,0.1887,0.0228,0.0061,,,,
Future,B2-2-F,10,15,0.1465,0.0209,0.0039,,,,
Future,B2-3-F,24,34,0.2123,0.0354,0.0070,,,,
Future,B3-1-F,25,37,0.2334,0.0289,0.0090,6/13= has new leaf forming underneath on the center and right when looking top to bottom ,,,
Future,B3-2-F,25,34,0.2192,0.0268,0.0077,,,,
Future,B3-3-F,26,32,0.1887,0.0214,0.0061,6/13= has new leaf forming underneath on the center when looking top to bottom ,,,
Future,B3-4-F,25,41,0.2131,0.0317,0.0082,6/13= has a ton of new leaves at the bottom underneath,,,
Future,B3-7-F,26,34,0.1959,0.0217,0.0069,"6/13= has a ton of new leaves growing underneath in back, very little. ",,,
Future,B4-2-F,12,17,0.0854,0.0167,0.0038,,,,
Future,B8-1-F,23,36,0.3066,0.0403,0.0094,"6/13= has a ton of new leaves at the bottom underneath, very little. Biggest to the right. ",,,
Future,B8-2-F,23,40,0.2788,0.0381,0.0079,"6/13= has a ton of new leaves at the bottom underneath, very little. ",,,
Future,B8-3-F,25,33,0.2686,0.0441,0.0099,Has new leaf coming out of middle bottom when looking top to bottom. New shoot likely. 6/13= has some new little ones,,,
Future,B8-4-F,23,33,0.3736,0.046,0.0125,6/13= has new leaf forming underneath on the right when looking top to bottom ,,,
Future,B8-5-F,20,33,0.1657,0.0335,0.0056,"6/13= has a ton of new leaves at the bottom underneath, very little. ",,,
Future,B8-6-F,21,38,0.3100,0.0414,0.0121,"6/13= has a ton of new leaves at the bottom underneath, very little. ",,,
Future,B12-1-F,21,28,0.1167,0.0212,0.0045,6/13= has new leaf growing underneath to the left when looking top to bottom ,,,
Future,B12-2-F,22,32,0.1124,0.0178,0.0041,"6/13= has a ton of new leaves at the bottom underneath, very little. ",,,
Future,B12-3-F,19,27,0.1025,0.0178,0.0042,,,,
Future,B12-4-F,20,29,0.106,0.0187,0.0042,,,,
Future,B13-1-F,21,31,0.1428,0.0285,0.0078,6/13= has new leaf forming underneath on the centeer and left when looking top to bottom ,,,
Future,B13-2-F,22,40,0.1995,0.0381,0.0080,"6/13= has a ton of new leaves at the bottom underneath, very little. ",,,
Future,B13-3-F,17,24,0.1384,0.0238,0.0056,,,,
Future,B13-4-F,23,34,0.2021,0.0385,0.0077,6/13= a few small leaves around bottom underneath ,,,
Future,B15-1-F,23,36,0.1687,0.0301,0.0063,"New small leaves forming underneath to the left, likely new shoot. 6/13= lots of new leaves all around underneath",,,
Future,B15-2-F,25,37,0.2648,0.0397,0.0069,6/13= has new leaf underneath center when looking top to bottom ,,,
Future,B15-3-F,26,38,0.1845,0.0405,0.0066,6/13= has a few new little leaves forming underneath around bottom ,,,
Future,B15-4-F,27,47,0.2678,0.0453,0.0080,6/13= has a ton of new leaves at the bottom underneath,,,
Future,B15-5-F,21,43,0.1768,0.0259,0.0065,6/13= has a ton of new leaves at the bottom underneath,,,
Future,R2-1-F,29,40,0.4125,0.0462,0.0091,"Has a side shoot growing to the right when looking at the tray from Top to bottom. 6/13= also back, much bigger",,,
Future,R2-2-F,25,36,0.4897,0.0529,0.0108,6/13= has new leaf growing underneath to the back when looking top to bottom ,,,
Future,R2-3-F,25,35,0.4774,0.0499,0.0105,Has a new shoot to the left when looking top to bottom at tray. 6/13= bigger and to the right,,,
Future,R2-4-F,21,31,0.4452,0.0548,0.0098,,,,
Future,R8-1-F,21,31,0.4305,0.049,0.0118,6/13= has new leaf forming underneath on the right and back when looking top to bottom ,,,
Future,R8-2-F,21,30,0.4137,0.0493,0.0110,Has new shoot in center underneath when looking top to bottom at tray. 6/13= looks bigger,,,
Future,R8-3-F,25,41,0.4977,0.0646,0.0091,Has new shoot in back underneath when looking top to bottom at tray. 6/13= bigger and lots of new,,,
Future,R8-4-F,22,29,0.4921,0.0631,0.0104,Has new shoot underneath to the left when looking top to bottom at tray. 6/13= bigger ,,,
Future,R11-1-F,22,31,0.7388,0.0813,0.0144,6/13= has new leaf growing underneath to the back when looking top to bottom ,,,
Future,R11-2-F,26,36,0.6933,0.0755,0.0137,"6/13= has a ton of new leaves growing underneath, very little. ",,,
Future,R11-3-F,19,32,0.6392,0.0728,0.0116,6/13= has new leaf forming underneath on the center and right when looking top to bottom ,,,
Future,R11-4-F,25,36,0.6828,0.0858,0.0105,"Has a new shoot on the left underneath when looking top to bottom at tray. 6/13= bigger, and in the back now",,,
Future,R21-1-F,22,32,0.4128,0.0468,0.0074,6/13= has new leaf underneath center when looking top to bottom ,,,
Future,R21-2-F,20,30,0.5162,0.0482,0.0113,6/13= has new leaf underneath center when looking top to bottom ,,,
Future,R21-3-F,5,5,NA,NA,NA,Counted the larger right one at the time. Left the smaller one at the back-left. ,,,
Future,R21-4-F,21,29,0.4411,0.0445,0.0112,,,,
Future,R29-1-F,22,31,0.4168,0.0554,0.0104,6/13= has new leaf forming underneath on the right and back when looking top to bottom ,,,
Future,R29-2-F,18,30,0.4620,0.0577,0.0123,,,,
Future,R29-3-F,19,25,0.4552,0.0525,0.0083,,,,
Future,R29-4-F,24,35,0.4115,0.0478,0.0086,"Has a new shoot to the left of the center looking top to bottom. 6/13= more little ones, bigger old ones.",,,
Future,R35-1-F,25,37,0.4197,0.0463,0.0111,Has a new shoot forming on the center looking at the top label of the tray. 6/13= to the left and back ,,,
Future,R35-2-F,21,29,0.4178,0.0393,0.0118,6/13= has new leaf forming underneath on the center and right when looking top to bottom ,,,
Future,R35-3-F,31,44,0.4078,0.0405,0.0095,"Has new shots forming in the front and back when looking top to bottom. 6/13= looks bigger, lots of leaves",,,
Future,R35-4-F,26,36,0.4867,0.0604,0.0155,Has new shoot coming out of right underneath when looking top to bottom at tray. 6/13= looks bigger,,,
Future,R40-1-F,25,32,0.4857,0.0446,0.0120,"Has some bottom small leaves underneath bigger top leaves. May become a side shoot. 6/13= bigger, to the left",,,
Future,R40-2-F,20,31,0.3488,0.0414,0.0100,6/13= has new leaf growing underneath to the back when looking top to bottom ,,,
Future,R40-3-F,24,36,0.3508,0.0449,0.0080,"Has new shoot underneath in the center when looking top to bottom at tray. 6/13= bigger, and to the left",,,
Future,R40-4-F,25,34,0.4597,0.0592,0.0075,"Has new shoot to the right underneath bigger leaves looking top to bottom. 6/13- looks bigger, some new",,,
Future,R47-1-F,18,24,0.4311,0.0610,0.0100,,,,
Future,R47-2-F,20,30,0.3402,0.0433,0.0099,6/13= has a few new little leaves forming underneath around bottom ,,,
Future,R47-3-F,18,25,0.4273,0.0438,0.0094,,,,
Future,R47-4-F,11,17,0.3524,0.0398,0.0076,,,,
TEST,B1-X-TEST,,,0.3241,0.0523,0.0111,TEST,,,
TEST,B3-X-TEST,,,,,,TEST,,,
TEST,B8-X-TEST,,,,,,TEST,,,
TEST,B15-X-TEST,,,,,,TEST,,,
TEST,R8-X-TEST,,,,,,TEST,,,
TEST,R21-X-TEST,,,0.238,0.0295,0.0123,TEST,,,
TEST,R35-X-TEST,,,,,,TEST,,,
TEST,R47-X-TEST,,,,,,TEST,,,
